ds,y
2021-01-01,891.0927715384328
2021-01-02,923.4561091776177
2021-01-03,946.889358944507
2021-01-04,896.5176579948215
2021-01-05,628.8742733099303
2021-01-06,674.3568667181917
2021-01-07,1023.1589164232262
2021-01-08,1120.2212468390037
2021-01-09,1061.88841682172
2021-01-10,1072.3725290556738
2021-01-11,794.7470248090987
2021-01-12,661.5446972265426
2021-01-13,736.5462752850389
2021-01-14,648.767770518173
2021-01-15,809.3145322265111
2021-01-16,959.1262211584601
2021-01-17,797.5909395712354
2021-01-18,734.6277180247719
2021-01-19,468.67215046147095
2021-01-20,420.03782687165915
2021-01-21,841.5375966385365
2021-01-22,828.1839040347239
2021-01-23,912.6377018804565
2021-01-24,675.0584344035987
2021-01-25,600.8873484787448
2021-01-26,560.0397111222936
2021-01-27,475.2660980665007
2021-01-28,801.8286118398141
2021-01-29,899.0030810325807
2021-01-30,1021.186060926616
2021-01-31,933.5802388886481
2021-02-01,1042.7234987046672
2021-02-02,768.7945643368045
2021-02-03,717.0550806052881
2021-02-04,1081.9670096952107
2021-02-05,1067.001223479394
2021-02-06,1287.5976473027665
2021-02-07,992.7985970773627
2021-02-08,891.5473490130178
2021-02-09,922.9165787398626
2021-02-10,991.7380169410396
2021-02-11,1071.239085916658
2021-02-12,1190.2754550657119
2021-02-13,1208.4963397343445
2021-02-14,974.4275384538968
2021-02-15,851.5891379257682
2021-02-16,727.5660202748834
2021-02-17,871.8831829925876
2021-02-18,922.2179917982586
2021-02-19,852.9418578183569
2021-02-20,1100.4856627347003
2021-02-21,923.5988717993802
2021-02-22,713.8837479840429
2021-02-23,717.9874862733357
2021-02-24,783.5574662933442
2021-02-25,930.9218401791856
2021-02-26,933.9194432499775
2021-02-27,1065.7398401645573
2021-02-28,1063.404278909889
2021-03-01,984.7715243662064
2021-03-02,748.2714008604829
2021-03-03,829.7794599102015
2021-03-04,917.1124237282448
2021-03-05,1102.810644559592
2021-03-06,1389.0592107147152
2021-03-07,1375.2071320433208
2021-03-08,1079.1282604516232
2021-03-09,1077.5067035522172
2021-03-10,1040.1067082953302
2021-03-11,1087.2877705091219
2021-03-12,1346.2080580232807
2021-03-13,1509.4694200723281
2021-03-14,1242.3742400550486
2021-03-15,1207.7011790916902
2021-03-16,640.3653890217346
2021-03-17,974.9957775841943
2021-03-18,1017.9475530685681
2021-03-19,1112.3959158787413
2021-03-20,1179.0957661386615
2021-03-21,851.4494371199141
2021-03-22,831.8753091991109
2021-03-23,747.4097328349648
2021-03-24,864.7828218708261
2021-03-25,803.8464668094028
2021-03-26,936.5565816931081
2021-03-27,1028.7172324739865
2021-03-28,1088.2985238131644
2021-03-29,872.9350726226822
2021-03-30,684.975737266735
2021-03-31,833.247697215829
2021-04-01,1465.9476115459447
2021-04-02,1745.8954735222114
2021-04-03,1665.4411204310234
2021-04-04,1638.8458416216313
2021-04-05,1485.9755841139208
2021-04-06,1278.7050901158677
2021-04-07,1492.2075750076026
2021-04-08,1648.4240898479156
2021-04-09,1793.4494381221928
2021-04-10,1827.2594439451652
2021-04-11,1610.8426541395752
2021-04-12,1525.544465160706
2021-04-13,1392.4211913163542
2021-04-14,1342.4794313099887
2021-04-15,1525.7744968266286
2021-04-16,1715.0911964177562
2021-04-17,1887.5183224394932
2021-04-18,1590.121212644294
2021-04-19,1392.576701628966
2021-04-20,1205.085344940841
2021-04-21,1011.5301479367465
2021-04-22,1323.2459870164842
2021-04-23,1476.2646707052986
2021-04-24,1760.092866792129
2021-04-25,1394.5182308419805
2021-04-26,1270.0614328711697
